0,1,2,3,4,3,2,1,2,3,4,3,2,3,2,4,5,0,3,4,3,1,2,3,4,1,2,3,4,15
10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,14,25,10,11,12,12,12,12,12,12,12,12,12,14,25
20,21,7,6,26,27,29,9,6,28,9,29,17,29,28,24,35,20,21,71,24,33,32,33,32,33,32,21,24,45
30,21,8,9,16,18,17,7,29,9,8,28,27,32,33,34,25,30,21,22,24,0,1,2,4,3,2,21,24,25
0,21,19,26,27,17,27,8,17,7,6,9,24,41,42,44,45,10,21,70,24,10,11,62,61,62,61,22,24,35
10,21,17,28,27,26,29,27,17,6,7,8,24,0,1,2,3,4,21,73,24,20,21,22,71,73,71,17,24,25
20,21,22,33,32,33,32,33,32,33,32,33,34,10,11,13,33,32,33,32,34,30,21,18,18,18,18,18,24,15
0,21,24,4,2,4,1,2,3,1,2,3,4,20,21,24,33,32,33,32,33,10,21,18,69,69,69,69,24,25
10,21,17,12,12,12,12,12,12,12,12,12,12,12,17,24,25,0,1,2,3,20,21,18,69,69,69,69,24,35
20,21,19,22,70,73,72,72,71,72,71,70,72,70,70,24,35,10,11,13,12,62,22,18,69,69,69,69,24,25
30,31,32,33,32,33,32,33,32,33,32,33,32,33,32,34,25,20,21,72,33,33,71,18,69,69,69,69,24,15
40,41,42,43,41,44,43,41,42,43,44,42,41,43,44,42,45,20,21,24,25,30,21,18,69,69,69,69,24,5
0,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,5,10,21,24,35,10,21,18,69,69,69,69,24,15
10,11,12,12,62,60,12,62,12,12,12,62,12,60,62,60,15,30,21,24,15,20,21,18,18,18,18,18,24,25
20,21,22,27,6,27,26,18,28,22,27,9,28,26,22,24,25,20,21,24,25,30,31,32,33,32,33,32,34,35
30,21,6,26,22,9,22,6,19,23,6,6,27,22,9,24,2,3,21,24,5,40,41,42,43,44,42,41,42,45
20,21,27,6,28,6,19,28,28,27,23,22,7,27,28,62,12,13,28,24,15,11,13,13,12,12,12,12,12,14
10,31,32,33,32,33,33,32,33,32,33,33,32,32,33,32,33,33,32,34,25,21,73,72,71,73,72,17,23,24
40,41,42,43,44,42,41,41,42,44,42,43,41,43,44,42,41,42,44,42,45,31,33,32,33,32,33,32,33,32
50,51,52,53,54,55,50,51,52,53,50,51,52,53,54,55,50,52,51,53,54,55,50,51,52,53,54,55,50,53
